date,week,colors,new_pos,tot_case,tot_hosp,perc_pos,RT_sym,RT_hosp,var_hosp,new_dies,tot_dies,new_tests,tot_tests,vax,CI_low_sym,CI_up_sym,CI_low_hosp,CI_up_hosp,incid_100k_7ns
2021-01-19,3_2021,62,10497,2400598,25186,4.13,0.83,0.98,-242,603,83157,254070,29619436,33628,0.83,0.84,0.98,0.99,145
2021-01-20,3_2021,62,13571,2414166,24930,4.85,0.87,0.98,-256,524,83681,279762,29899198,31535,0.86,0.88,0.97,0.98,145
2021-01-21,3_2021,62,14078,2428221,24463,5.26,0.89,0.97,-467,521,84202,267567,30166765,36580,0.88,0.9,0.97,0.98,145
2021-01-22,3_2021,62,13633,2441854,24081,5.15,0.91,0.97,-382,472,84674,264728,30431493,27451,0.9,0.92,0.97,0.97,145
2021-01-23,3_2021,62,13331,2455185,23789,4.66,0.93,0.97,-292,488,85162,286331,30717824,39381,0.92,0.94,0.96,0.97,145
2021-01-24,3_2021,62,11629,2466813,23709,5.38,0.96,0.96,-80,299,85461,216211,30934035,34043,0.95,0.97,0.96,0.97,145
2021-01-25,4_2021,62,8562,2475372,23845,6.75,0.97,0.96,136,420,85881,126931,31060966,69650,0.96,0.98,0.95,0.96,146
2021-01-26,4_2021,62,10593,2485956,23727,4.13,0.98,0.95,-118,541,86422,256287,31317253,80872,0.97,0.98,0.95,0.96,146
2021-01-27,4_2021,62,15204,2501147,23513,5.18,0.97,0.95,-214,467,86889,293770,31611023,71256,0.96,0.98,0.95,0.96,146
2021-01-28,4_2021,62,14372,2515507,23066,5.22,0.97,0.95,-447,492,87381,275579,31886602,94255,0.97,0.98,0.95,0.95,146
2021-01-29,4_2021,62,13574,2529070,22667,5.05,0.97,0.95,-399,477,87858,268750,32155352,99177,0.96,0.98,0.94,0.95,146
2021-01-30,4_2021,62,12715,2541783,22316,4.27,0.96,0.95,-351,421,88279,298010,32453362,90796,0.95,0.97,0.94,0.95,146
2021-01-31,4_2021,56,11252,2553032,22311,5.27,0.96,0.95,-5,237,88516,213364,32666726,60009,0.95,0.96,0.94,0.95,146
2021-02-01,5_2021,56,7925,2560957,22512,5.56,0.98,0.95,201,329,88845,142419,32809145,86260,0.97,0.99,0.94,0.95,142
2021-02-02,5_2021,56,9660,2570608,22531,3.95,1,0.95,19,498,89343,244429,33053574,88641,0.99,1.01,0.94,0.95,142
2021-02-03,5_2021,56,13189,2583790,22216,4.72,1.01,0.95,-315,476,89819,279307,33332881,100295,1,1.02,0.94,0.95,142
2021-02-04,5_2021,56,13659,2597446,21894,5.06,1.02,0.95,-322,422,90241,270142,33603023,109035,1.01,1.03,0.94,0.95,142
2021-02-05,5_2021,56,14218,2611659,21717,5.26,1.03,0.95,-177,377,90618,270507,33873530,108239,1.02,1.04,0.94,0.95,142
2021-02-06,5_2021,56,13442,2625098,21518,4.76,1.05,0.95,-199,385,91003,282407,34155937,78101,1.04,1.06,0.95,0.96,142
2021-02-07,5_2021,56,11641,2636738,21373,5.63,1.06,0.95,-145,270,91273,206789,34362726,42437,1.05,1.07,0.95,0.96,142
2021-02-08,6_2021,56,7970,2644707,21670,5.52,1.04,0.95,297,307,91580,144270,34506996,67271,1.03,1.05,0.95,0.96,144
2021-02-09,6_2021,56,10630,2655319,21655,3.88,1.03,0.96,-15,422,92002,274263,34781259,67290,1.02,1.04,0.95,0.96,144
2021-02-10,6_2021,55,12956,2668266,21408,4.17,1.04,0.96,-247,336,92338,310994,35092253,73357,1.03,1.05,0.95,0.96,144
2021-02-11,6_2021,55,15146,2683403,21068,5.18,1.03,0.96,-340,391,92729,292533,35384786,75332,1.02,1.04,0.95,0.96,144
2021-02-12,6_2021,55,13908,2697296,20831,4.84,1.02,0.96,-237,316,93045,287619,35672405,74612,1.01,1.03,0.95,0.96,144
2021-02-13,6_2021,56,13532,2710819,20562,4.66,1.01,0.96,-269,311,93356,290534,35962939,52942,1,1.02,0.95,0.96,144
2021-02-14,6_2021,56,11068,2721879,20534,5.38,1.01,0.96,-28,221,93577,205642,36168581,30032,1,1.02,0.95,0.96,144
2021-02-15,7_2021,56,7351,2729223,20604,4.1,1.02,0.96,70,258,93835,179278,36347859,63024,1.01,1.03,0.95,0.96,148
2021-02-16,7_2021,56,10386,2739591,20537,3.79,1.04,0.96,-67,336,94171,274019,36621878,71507,1.03,1.05,0.95,0.96,148
2021-02-17,7_2021,56,12074,2751657,20317,4.1,1.06,0.96,-220,369,94540,294411,36916289,80773,1.05,1.07,0.95,0.96,148
2021-02-18,7_2021,56,13762,2765412,20008,4.77,1.11,0.95,-309,342,94882,288458,37204747,90636,1.1,1.12,0.95,0.96,148
2021-02-19,7_2021,56,15479,2780882,19890,5.21,1.14,0.95,-118,353,95235,297128,37501875,93694,1.13,1.15,0.95,0.96,148
2021-02-20,7_2021,58,14931,2795796,19788,4.88,1.19,0.96,-102,251,95486,306078,37807953,78611,1.18,1.2,0.95,0.96,148
2021-02-21,7_2021,58,13452,2809246,19898,5.36,1.22,0.96,110,232,95718,250986,38058939,51261,1.21,1.23,0.95,0.96,148
2021-02-22,8_2021,58,9630,2818863,20273,5.64,1.26,0.96,375,274,95992,170672,38229611,106245,1.25,1.27,0.96,0.97,196
2021-02-23,8_2021,58,13314,2832162,20441,4.38,1.27,0.97,168,356,96348,303850,38533461,107043,1.26,1.28,0.96,0.97,196
2021-02-24,8_2021,58,16424,2848564,20374,4.83,1.27,0.97,-67,318,96666,340247,38873708,122770,1.26,1.28,0.97,0.98,196
2021-02-25,8_2021,58,19886,2868435,20425,5.62,1.25,0.98,51,308,96974,353704,39227412,129016,1.24,1.26,0.98,0.99,196
2021-02-26,8_2021,58,20499,2888923,20486,6.3,1.25,0.99,61,253,97227,325404,39552816,139248,1.24,1.25,0.98,0.99,196
2021-02-27,8_2021,58,18916,2907825,20588,5.86,1.22,1,102,280,97507,323047,39875863,127169,1.21,1.23,0.99,1,196
2021-02-28,8_2021,60,17455,2925265,20869,6.79,1.2,1.01,281,192,97699,257024,40132887,78516,1.19,1.2,1,1.01,196
2021-03-01,9_2021,60,13114,2938371,21401,7.69,1.22,1.01,532,246,97945,170633,40303520,136202,1.21,1.23,1.01,1.02,241
2021-03-02,9_2021,60,17083,2955434,21897,5.08,1.21,1.02,496,343,98288,335983,40639503,162546,1.21,1.22,1.02,1.03,241
2021-03-03,9_2021,60,20884,2976274,22174,5.82,1.21,1.03,277,347,98635,358884,40998387,188033,1.2,1.22,1.03,1.04,241
2021-03-04,9_2021,60,22865,2999119,22632,6.73,1.2,1.05,458,339,98974,339635,41338022,198865,1.19,1.21,1.04,1.05,241
2021-03-05,9_2021,60,24036,3023129,22899,6.35,1.2,1.06,267,297,99271,378463,41716485,207066,1.19,1.21,1.05,1.06,241
2021-03-06,9_2021,62,23641,3046762,23272,6.66,1.2,1.07,373,307,99578,355024,42071509,178683,1.19,1.21,1.06,1.07,241
2021-03-07,9_2021,62,20765,3067486,23749,7.65,1.19,1.08,477,207,99785,271336,42342845,103256,1.19,1.2,1.07,1.08,241
2021-03-08,10_2021,62,13902,3081368,24531,7.53,1.16,1.09,782,318,100103,184684,42527529,182454,1.16,1.17,1.08,1.1,264
2021-03-09,10_2021,62,19749,3101093,25149,5.71,1.14,1.1,618,376,100479,345972,42873501,196142,1.13,1.15,1.09,1.1,264
2021-03-10,10_2021,62,22409,3123368,25709,6.21,1.14,1.11,560,332,100811,361040,43234541,216622,1.13,1.15,1.1,1.11,264
2021-03-11,10_2021,62,25673,3149017,26106,6.9,1.12,1.12,397,373,101184,372217,43606758,225367,1.11,1.13,1.11,1.12,264
2021-03-12,10_2021,62,26824,3175807,26570,7.26,1.1,1.12,464,380,101564,369636,43976394,213359,1.09,1.11,1.12,1.13,264
2021-03-13,10_2021,72,26062,3201838,27135,6.99,1.08,1.13,565,317,101881,372944,44349338,177682,1.07,1.09,1.12,1.13,264
2021-03-14,10_2021,72,21315,3223142,27600,7.78,1.06,1.13,465,264,102145,273966,44623304,106109,1.06,1.07,1.13,1.14,264
2021-03-15,11_2021,72,15267,3238394,28495,8.53,1.05,1.14,895,354,102499,179015,44802319,175876,1.04,1.05,1.13,1.14,259
2021-03-16,11_2021,72,20396,3258770,29354,5.52,1.03,1.14,859,502,103001,369375,45171694,140915,1.02,1.04,1.13,1.15,259
2021-03-17,11_2021,72,23059,3281810,29834,6.25,1,1.14,480,431,103432,369084,45540778,166393,1,1.01,1.14,1.15,259
2021-03-18,11_2021,72,24935,3306711,30027,7.05,0.99,1.14,193,423,103855,353737,45894515,164244,0.99,1,1.14,1.15,259
2021-03-19,11_2021,72,25735,3332418,30222,7.05,0.98,1.14,195,386,104241,364822,46259337,176808,0.97,0.99,1.13,1.14,259
2021-03-20,11_2021,73,23832,3356331,30448,6.72,0.98,1.14,226,401,104642,354480,46613817,176458,0.97,0.99,1.13,1.14,259
2021-03-21,11_2021,73,20159,3376376,30932,7.28,0.97,1.13,484,300,104942,277086,46890903,130797,0.96,0.98,1.13,1.14,259
2021-03-22,12_2021,73,13846,3400877,31559,8.18,0.96,1.13,627,386,105328,169196,47060099,196789,0.96,0.97,1.12,1.13,245
2021-03-23,12_2021,73,18765,3419616,31974,5.6,0.96,1.12,415,551,105879,335189,47395288,227227,0.96,0.97,1.11,1.12,245
2021-03-24,12_2021,73,21267,3440862,32026,5.85,0.96,1.11,52,460,106339,363767,47759055,258430,0.95,0.96,1.11,1.11,245
2021-03-25,12_2021,73,23798,3464645,32044,6.81,0.96,1.1,18,460,106799,349472,48108527,271899,0.95,0.97,1.1,1.11,245
2021-03-26,12_2021,73,23987,3488619,32100,6.76,0.95,1.09,56,457,107256,354982,48463509,272935,0.95,0.96,1.09,1.1,245
2021-03-27,12_2021,77,23776,3512390,32256,6.66,0.94,1.09,156,380,107636,357076,48820585,241594,0.93,0.94,1.08,1.09,245
2021-03-28,12_2021,77,19611,3531994,32380,7.19,0.93,1.08,124,297,107933,272703,49093288,163778,0.92,0.94,1.07,1.08,245
2021-03-29,13_2021,77,12916,3544894,32884,8.24,0.92,1.07,504,417,108350,156697,49249985,244481,0.91,0.92,1.07,1.08,231
2021-03-30,13_2021,77,16013,3560945,32947,5.31,0.9,1.06,63,529,108879,301447,49551432,271035,0.9,0.91,1.06,1.07,231
2021-03-31,13_2021,77,22516,3583444,32890,6.41,0.88,1.06,-57,467,109346,351065,49902497,307661,0.88,0.89,1.05,1.06,231
2021-04-01,13_2021,77,23649,3607083,32630,6.64,0.88,1.05,-260,501,109847,356245,50258742,289066,0.87,0.88,1.05,1.05,231
2021-04-02,13_2021,77,21932,3629000,32408,6.62,0.86,1.04,-222,481,110328,331154,50589896,284002,0.85,0.87,1.04,1.05,231
2021-04-03,13_2021,74,21261,3650247,32203,5.92,0.84,1.03,-205,376,110704,359214,50949110,231116,0.84,0.85,1.03,1.04,231
2021-04-04,13_2021,74,18025,3668264,32135,7.18,0.83,1.03,-68,326,111030,250933,51200043,96344,0.82,0.83,1.02,1.03,231
2021-04-05,14_2021,74,10680,3678944,32522,10.39,0.79,1.02,387,296,111326,102795,51302838,171647,0.79,0.8,1.02,1.02,172
2021-04-06,14_2021,74,7767,3686707,33080,6.88,0.79,1.02,558,421,111747,112962,51415800,287304,0.79,0.8,1.01,1.02,172
2021-04-07,14_2021,74,13708,3700393,32999,4.03,0.81,1.01,-81,627,112374,339939,51755739,335430,0.8,0.82,1.01,1.02,172
2021-04-08,14_2021,74,17221,3717602,32514,4.76,0.81,1.01,-485,487,112861,362162,52117901,340296,0.8,0.82,1.01,1.01,172
2021-04-09,14_2021,74,18938,3736526,31749,5.43,0.82,1.01,-765,718,113579,349003,52466904,337229,0.81,0.82,1,1.01,172
2021-04-10,14_2021,69,17567,3754077,31242,5.25,0.84,1,-507,344,113923,334862,52801766,322075,0.84,0.85,1,1,172
2021-04-11,14_2021,69,15746,3769814,30836,6.22,0.87,0.99,-406,331,114254,253100,53054866,202538,0.86,0.88,0.99,1,172
2021-04-12,15_2021,69,9789,3779594,30922,5.13,0.91,0.99,86,358,114612,190635,53245501,268418,0.9,0.92,0.98,0.99,170
2021-04-13,15_2021,69,13447,3793033,30478,4.41,0.91,0.98,-444,476,115088,304990,53550491,290676,0.9,0.92,0.97,0.98,170
2021-04-14,15_2021,69,16168,3809193,29859,4.83,0.91,0.96,-619,469,115557,334766,53885257,322676,0.9,0.91,0.96,0.97,170
2021-04-15,15_2021,69,16974,3826156,29004,5.31,0.9,0.95,-855,380,115937,319633,54204890,353304,0.89,0.91,0.95,0.96,170
2021-04-16,15_2021,69,15943,3842079,28109,4.87,0.91,0.94,-895,429,116366,327704,54532594,381880,0.9,0.92,0.94,0.94,170
2021-04-17,15_2021,68,15370,3857443,27440,4.63,0.9,0.93,-669,310,116676,331734,54864328,360998,0.89,0.91,0.93,0.93,170
2021-04-18,15_2021,68,12694,3870131,26959,5.52,0.91,0.92,-481,251,116927,230116,55094444,242639,0.9,0.91,0.92,0.92,170
2021-04-19,16_2021,68,8864,3878994,26986,6.04,0.91,0.91,27,316,117243,146728,55241172,312095,0.9,0.91,0.91,0.92,157
2021-04-20,16_2021,68,12074,3891063,26406,4.11,0.92,0.9,-580,390,117633,294045,55535217,335102,0.91,0.92,0.9,0.91,157
2021-04-21,16_2021,68,13844,3904899,25860,3.96,0.93,0.9,-546,364,117997,350034,55885251,374669,0.92,0.94,0.89,0.9,157
2021-04-22,16_2021,68,16050,3920945,25115,4.4,0.94,0.89,-745,360,118357,364804,56250055,400867,0.93,0.95,0.89,0.9,157
2021-04-23,16_2021,68,14761,3935703,24419,4.68,0.94,0.89,-696,342,118699,315700,56565755,407188,0.94,0.95,0.88,0.89,157
2021-04-24,16_2021,49,13817,3949517,23865,4.31,0.95,0.88,-554,322,119021,320780,56886535,388132,0.95,0.96,0.88,0.89,157
2021-04-25,16_2021,49,13158,3962674,23524,5.49,0.95,0.88,-341,217,119238,239482,57126017,268212,0.94,0.96,0.88,0.89,157
2021-04-26,17_2021,49,8444,3971114,23484,5.79,0.94,0.88,-40,301,119539,145819,57271836,345792,0.93,0.95,0.88,0.88,139
2021-04-27,17_2021,49,10404,3981512,23060,3.44,0.92,0.88,-424,373,119912,302734,57574570,374933,0.92,0.93,0.87,0.88,139
2021-04-28,17_2021,49,13385,3994894,22571,3.98,0.91,0.88,-489,344,120256,336336,57910906,410678,0.9,0.92,0.87,0.88,139
2021-04-29,17_2021,49,14320,4009208,21991,4.34,0.88,0.88,-580,288,120544,330075,58240981,531738,0.87,0.89,0.87,0.88,139
2021-04-30,17_2021,49,13446,4022653,21523,3.97,0.85,0.88,-468,263,120807,338771,58579752,530471,0.85,0.86,0.87,0.88,139
2021-05-01,17_2021,49,12965,4035617,20903,3.43,0.85,0.88,-620,226,121033,378202,58957954,434324,0.84,0.85,0.87,0.88,139
2021-05-02,17_2021,49,9148,4044762,20869,5.83,0.83,0.88,-34,144,121177,156872,59114826,370799,0.82,0.84,0.87,0.88,139
2021-05-03,18_2021,49,5948,4050708,20885,4.88,0.81,0.88,16,256,121433,121829,59236655,414111,0.8,0.82,0.88,0.88,113
2021-05-04,18_2021,49,9116,4059821,20599,2.89,0.8,0.88,-286,305,121738,315506,59552161,453863,0.79,0.81,0.88,0.89,113
2021-05-05,18_2021,49,10585,4070400,19888,3.24,0.8,0.88,-711,267,122005,327169,59879330,487383,0.79,0.81,0.88,0.89,113
2021-05-06,18_2021,49,11807,4082198,19175,3.64,0.79,0.88,-713,258,122263,324640,60203970,522577,0.79,0.8,0.88,0.89,113
2021-05-07,18_2021,49,10554,4092747,18584,3.21,0.79,0.88,-591,207,122470,328612,60532582,546762,0.79,0.8,0.87,0.88,113
2021-05-08,18_2021,45,10176,4102921,18010,3.01,0.78,0.88,-574,224,122694,338436,60871018,514595,0.77,0.79,0.87,0.88,113
2021-05-09,18_2021,45,8292,4111210,17612,3.67,0.77,0.87,-398,139,122833,226006,61097024,384163,0.77,0.78,0.87,0.88,113
2021-05-10,19_2021,45,5080,4116287,17585,3.91,0.76,0.87,-27,198,123031,130000,61227024,442462,0.75,0.77,0.86,0.87,81
2021-05-11,19_2021,45,6946,4123230,16993,2.43,0.75,0.86,-592,251,123282,286428,61513452,458901,0.74,0.76,0.86,0.86,81
2021-05-12,19_2021,45,7852,4131078,16272,2.56,0.73,0.85,-721,262,123544,306744,61820196,486233,0.72,0.74,0.85,0.86,81
2021-05-13,19_2021,45,8085,4139160,15501,2.82,0.73,0.85,-771,201,123745,287026,62107222,530661,0.72,0.73,0.84,0.85,81
2021-05-14,19_2021,45,7567,4146722,14910,2.54,0.71,0.84,-591,182,123927,298186,62405408,556667,0.71,0.72,0.83,0.84,81
2021-05-15,19_2021,43,6659,4153374,14298,2.26,0.71,0.83,-612,136,124063,294686,62700094,545996,0.7,0.72,0.83,0.84,81
2021-05-16,19_2021,43,5753,4159122,13913,2.84,0.71,0.82,-385,93,124156,202573,62902667,410513,0.7,0.72,0.82,0.83,81
2021-05-17,20_2021,43,3455,4162576,13778,2.91,0.68,0.82,-135,140,124296,118924,63021591,468342,0.67,0.69,0.81,0.82,56
2021-05-18,20_2021,43,4452,4167025,13228,1.69,0.68,0.81,-550,201,124497,262864,63284455,470873,0.67,0.69,0.8,0.81,56
2021-05-19,20_2021,43,5506,4172525,12661,1.92,0.68,0.8,-567,149,124646,287256,63571711,488618,0.67,0.69,0.8,0.81,56
2021-05-20,20_2021,43,5741,4178261,11927,2.29,0.68,0.8,-734,164,124810,251037,63822748,555255,0.67,0.69,0.79,0.8,56
2021-05-21,20_2021,43,5218,4183476,11394,1.93,0.68,0.79,-533,218,125028,269744,64092492,573322,0.67,0.69,0.79,0.8,56
2021-05-22,20_2021,42,4717,4188190,10918,1.65,0.67,0.79,-476,125,125153,286603,64379095,523413,0.66,0.69,0.78,0.79,56
2021-05-23,20_2021,42,3995,4192183,10571,2.23,0.68,0.78,-347,72,125225,179391,64558486,407991,0.67,0.69,0.78,0.79,56
2021-05-24,21_2021,42,2490,4194672,10332,2.32,0.69,0.77,-239,110,125335,107481,64665967,465521,0.67,0.7,0.77,0.78,40
2021-05-25,21_2021,42,3224,4197892,9880,1.28,0.68,0.77,-452,166,125501,252646,64918613,480676,0.67,0.69,0.76,0.77,40
2021-05-26,21_2021,42,3937,4201827,9396,1.51,0.69,0.76,-484,121,125622,260962,65179575,528912,0.67,0.7,0.76,0.77,40
2021-05-27,21_2021,42,4147,4205970,8913,1.7,0.69,0.76,-483,171,125793,243967,65423542,591737,0.68,0.7,0.75,0.76,40
2021-05-28,21_2021,42,3738,4209707,8334,1.5,0.7,0.75,-579,126,125919,249911,65673453,596001,0.69,0.72,0.75,0.76,40
2021-05-29,21_2021,39,3351,4213055,7895,1.35,0.71,0.75,-439,83,126002,247330,65920783,525343,0.7,0.72,0.74,0.75,40
2021-05-30,21_2021,39,2949,4216003,7652,1.79,0.71,0.74,-243,44,126046,164495,66085278,402537,0.7,0.73,0.74,0.75,40
2021-05-31,22_2021,39,1820,4217821,7515,2.09,0.7,0.74,-137,82,126128,86977,66172255,480781,0.69,0.71,0.73,0.74,28
2021-06-01,22_2021,39,2483,4220304,7181,1.12,0.71,0.73,-334,93,126221,221818,66394073,470239,0.69,0.72,0.73,0.74,28
2021-06-02,22_2021,39,2897,4223200,6791,1.28,0.71,0.73,-390,62,126283,226272,66620345,412966,0.69,0.72,0.72,0.74,28
2021-06-03,22_2021,39,1968,4225163,6609,2.02,0.71,0.73,-182,59,126342,97633,66717978,598682,0.7,0.73,0.72,0.73,28
2021-06-04,22_2021,39,2557,4227719,6324,1.16,0.72,0.73,-285,73,126415,220939,66938917,634118,0.7,0.74,0.72,0.74,28
2021-06-05,22_2021,35,2436,4230153,5981,1.02,0.73,0.73,-343,57,126472,238632,67177549,619138,0.72,0.75,0.73,0.74,28
2021-06-06,22_2021,35,2275,4232428,5737,1.52,0.73,0.73,-244,51,126523,149958,67327507,512702,0.71,0.75,0.73,0.74,28
2021-06-07,23_2021,35,1273,4233698,5669,1.51,0.73,0.74,-68,65,126588,84567,67412074,572160,0.72,0.75,0.73,0.74,21
2021-06-08,23_2021,35,1896,4235592,5373,0.86,0.72,0.74,-296,102,126690,220917,67632991,583358,0.7,0.73,0.73,0.74,21
2021-06-09,23_2021,35,2199,4237790,5043,1.01,0.71,0.74,-330,77,126767,218738,67851729,595341,0.69,0.73,0.73,0.74,21
2021-06-10,23_2021,35,2079,4239868,4779,1.11,0.7,0.73,-264,88,126855,188120,68039849,634832,0.68,0.72,0.73,0.74,21
2021-06-11,23_2021,35,1901,4241760,4473,0.87,0.67,0.73,-306,69,126924,217610,68257459,623934,0.65,0.69,0.72,0.74,21
2021-06-12,23_2021,28,1723,4243482,4229,0.81,0.66,0.72,-244,52,126976,212966,68470425,567193,0.64,0.67,0.72,0.73,21
2021-06-13,23_2021,28,1390,4244872,4107,1.04,0.66,0.72,-122,26,127002,134136,68604561,436178,0.64,0.68,0.71,0.73,21
2021-06-14,24_2021,28,907,4245779,4001,1.15,0.65,0.72,-106,36,127038,78928,68683489,534362,0.63,0.67,0.71,0.72,14
2021-06-15,24_2021,28,1255,4247032,3837,0.59,0.65,0.71,-164,63,127101,212708,68896197,537307,0.63,0.67,0.71,0.72,14
2021-06-16,24_2021,28,1400,4248432,3535,0.69,0.64,0.71,-302,52,127153,203173,69099370,558808,0.62,0.66,0.7,0.72,14
2021-06-17,24_2021,28,1325,4249755,3332,0.66,0.63,0.71,-203,37,127190,200315,69299685,605784,0.61,0.65,0.7,0.71,14
2021-06-18,24_2021,28,1147,4250902,3096,0.53,0.63,0.7,-236,35,127225,216026,69515711,610401,0.61,0.65,0.69,0.71,14
2021-06-19,24_2021,22,1197,4252095,2898,0.48,0.63,0.7,-198,28,127253,249988,69765699,559855,0.61,0.66,0.69,0.71,14
2021-06-20,24_2021,22,881,4252976,2833,0.59,0.64,0.69,-65,17,127270,150522,69916221,438319,0.61,0.66,0.69,0.7,14
2021-06-21,25_2021,22,495,4253460,2775,0.61,0.62,0.69,-58,21,127291,81752,69997973,559537,0.6,0.65,0.68,0.7,9
2021-06-22,25_2021,22,835,4254294,2651,0.43,0.65,0.69,-124,31,127322,192882,70190855,572482,0.62,0.67,0.68,0.7,9
2021-06-23,25_2021,22,951,4255434,2484,0.48,0.66,0.69,-167,12,127334,198031,70388886,569244,0.63,0.68,0.68,0.7,9
2021-06-24,25_2021,22,927,4255700,2355,0.49,0.67,0.69,-129,28,127362,188191,70577077,612823,0.65,0.7,0.68,0.7,9
2021-06-25,25_2021,22,753,4256451,2205,0.39,0.7,0.69,-150,56,127418,192541,70769618,618254,0.67,0.73,0.68,0.7,9
2021-06-26,25_2021,21,838,4257289,2069,0.37,0.73,0.69,-136,40,127458,224493,70994111,555573,0.71,0.76,0.68,0.7,9
2021-06-27,25_2021,21,782,4258069,2037,0.57,0.78,0.69,-32,14,127472,137583,71131694,431823,0.75,0.81,0.68,0.7,9
2021-06-28,26_2021,21,389,4258456,2012,0.51,0.83,0.69,-25,28,127500,75861,71207555,560306,0.8,0.86,0.68,0.71,9
2021-06-29,26_2021,21,679,4259133,1946,0.36,0.88,0.7,-66,42,127542,190635,71398190,564261,0.85,0.92,0.69,0.71,9
2021-06-30,26_2021,21,776,4259909,1840,0.42,0.96,0.7,-106,24,127566,185016,71583206,574397,0.93,1,0.69,0.71,9
2021-07-01,26_2021,21,882,4260788,1761,0.47,1.07,0.71,-79,21,127587,188474,71771680,570074,1.03,1.11,0.69,0.72,9
2021-07-02,26_2021,21,794,4261582,1682,0.4,1.15,0.71,-79,28,127615,199238,71970918,556427,1.11,1.19,0.7,0.73,9
2021-07-03,26_2021,21,932,4262511,1598,0.41,1.23,0.72,-84,22,127637,228127,72199045,527711,1.19,1.27,0.71,0.73,9
2021-07-04,26_2021,21,808,4263317,1561,0.57,1.29,0.73,-37,12,127649,141640,72340685,414895,1.25,1.33,0.71,0.74,9
2021-07-05,27_2021,21,480,4263797,1528,0.64,1.36,0.73,-33,31,127680,74649,72415334,541495,1.32,1.4,0.72,0.74,14
2021-07-06,27_2021,21,907,4264704,1458,0.47,1.41,0.73,-70,24,127704,192424,72607758,539144,1.37,1.45,0.72,0.75,14
2021-07-07,27_2021,21,1010,4265714,1414,0.57,1.44,0.74,-44,14,127718,177977,72785735,549242,1.4,1.48,0.72,0.75,14
2021-07-08,27_2021,21,1394,4267105,1377,0.8,1.44,0.74,-37,13,127731,174852,72960587,586598,1.4,1.48,0.73,0.76,14
2021-07-09,27_2021,21,1390,4268491,1336,0.71,1.5,0.75,-41,25,127756,196922,73157509,599627,1.46,1.54,0.73,0.76,14
2021-07-10,27_2021,21,1400,4269885,1308,0.67,1.56,0.76,-28,12,127768,208419,73365928,569792,1.52,1.6,0.74,0.77,14
2021-07-11,27_2021,21,1391,4271276,1295,0.97,1.6,0.77,-13,7,127775,143332,73509260,411596,1.56,1.63,0.75,0.78,14
2021-07-12,28_2021,21,888,4272163,1307,1.21,1.68,0.78,12,13,127788,73571,73582831,567821,1.64,1.71,0.76,0.8,27
2021-07-13,28_2021,21,1534,4273693,1285,0.8,1.76,0.79,-22,20,127808,192543,73775374,572337,1.72,1.79,0.78,0.81,27
2021-07-14,28_2021,21,2153,4275846,1259,1.02,1.86,0.81,-26,23,127831,210599,73985973,568069,1.83,1.9,0.79,0.83,27
2021-07-15,28_2021,21,2455,4278319,1242,1.29,1.92,0.82,-17,9,127840,190922,74176895,614960,1.88,1.95,0.81,0.84,27
2021-07-16,28_2021,21,2898,4281214,1249,1.41,1.89,0.84,7,11,127851,205602,74382497,596867,1.86,1.92,0.82,0.86,27
2021-07-17,28_2021,21,3121,4284332,1273,1.27,1.83,0.86,24,13,127864,244797,74627294,538569,1.8,1.86,0.84,0.88,27
2021-07-18,28_2021,21,3127,4287458,1292,1.89,1.8,0.88,19,3,127867,165269,74792563,445302,1.78,1.83,0.86,0.9,27
2021-07-19,29_2021,21,2072,4289528,1350,2.33,1.75,0.91,58,7,127874,89089,74881652,575090,1.73,1.78,0.89,0.92,51
2021-07-20,29_2021,21,3558,4293083,1359,1.63,1.71,0.93,9,10,127884,218705,75100357,568022,1.69,1.74,0.91,0.95,51
2021-07-21,29_2021,21,4259,4297337,1354,1.81,1.64,0.95,-5,21,127905,235097,75335454,585001,1.61,1.66,0.93,0.97,51
2021-07-22,29_2021,21,5057,4302393,1392,2.3,1.55,0.98,38,15,127920,219778,75555232,607669,1.53,1.57,0.96,1,51
2021-07-23,29_2021,21,5143,4307535,1459,2.16,1.48,1.01,67,17,127937,237635,75792867,588328,1.46,1.5,0.99,1.03,51
2021-07-24,29_2021,21,5140,4312673,1512,1.99,1.42,1.04,53,5,127942,258929,76051796,495582,1.4,1.44,1.02,1.06,51
2021-07-25,29_2021,21,4743,4317415,1570,2.68,1.37,1.07,58,7,127949,176653,76228449,363831,1.35,1.39,1.05,1.09,51
2021-07-26,30_2021,21,3117,4320530,1694,3.53,1.35,1.1,124,22,127971,88247,76316696,565692,1.33,1.37,1.08,1.12,64
2021-07-27,30_2021,21,4522,4325046,1800,1.87,1.31,1.13,106,24,127995,241890,76558586,573984,1.3,1.33,1.11,1.16,64
2021-07-28,30_2021,21,5696,4330739,1868,2.29,1.28,1.17,68,15,128010,248472,76807058,539872,1.26,1.29,1.15,1.19,64
2021-07-29,30_2021,21,6171,4336906,1924,2.75,1.24,1.2,56,19,128029,224790,77031848,540419,1.22,1.25,1.18,1.23,64
2021-07-30,30_2021,21,6619,4343519,2013,2.67,1.21,1.23,89,18,128047,247486,77279334,516522,1.2,1.23,1.21,1.25,64
2021-07-31,30_2021,21,6513,4350028,2065,2.46,1.18,1.25,52,16,128063,264860,77544194,432909,1.16,1.19,1.23,1.27,64
